,id,label,Prediction,positive_prediction,negative_prediction
136,20936,0,0,1.41E-05,0.999985889
137,20937,0,1,0.99996984,3.02E-05
138,20938,0,1,0.99997139,2.86E-05
139,20939,1,1,0.999981999,1.80E-05
140,20940,1,1,0.999982715,1.73E-05
141,20941,1,0,2.99E-05,0.999970076
142,20942,0,1,0.999982595,1.74E-05
143,20943,1,1,0.999982476,1.75E-05
144,20944,1,1,0.99996686,3.31E-05
145,20945,0,0,1.39E-05,0.99998611
146,20946,1,1,0.999977469,2.25E-05
147,20947,1,1,0.99952209,0.00047791
148,20948,0,0,1.42E-05,0.999985803
149,20949,0,0,1.51E-05,0.999984871
150,20950,1,1,0.999981403,1.86E-05
151,20951,1,0,1.40E-05,0.999986047
152,20952,0,0,1.34E-05,0.999986624
153,20953,1,1,0.999981284,1.87E-05
154,20954,0,0,5.34E-05,0.999946625
155,20955,1,1,0.999976635,2.34E-05
156,20956,1,0,3.79E-05,0.999962105
157,20957,1,1,0.999982357,1.76E-05
158,20958,0,0,1.53E-05,0.999984675
159,20959,1,1,0.99998188,1.81E-05
160,20960,1,1,0.999981403,1.86E-05
161,20961,1,1,0.99998033,1.97E-05
162,20962,1,1,0.999981761,1.82E-05
163,20963,0,1,0.999980569,1.94E-05
164,20964,0,0,3.23E-05,0.999967653
165,20965,1,1,0.999980569,1.94E-05
166,20966,1,0,3.46E-05,0.999965424
167,20967,1,1,0.999979973,2.00E-05
168,20968,1,1,0.999931097,6.89E-05
169,20969,1,0,2.32E-05,0.999976834
170,20970,1,0,3.10E-05,0.999968997
171,20971,0,0,1.37E-05,0.999986347
172,20972,1,0,1.46E-05,0.999985439
173,20973,0,1,0.999949694,5.03E-05
174,20974,0,0,1.39E-05,0.999986114
175,20975,1,0,3.22E-05,0.999967755
176,20976,0,0,1.39E-05,0.999986101
177,20977,1,0,4.76E-05,0.999952432
178,20978,1,0,4.69E-05,0.999953106
179,20979,1,0,5.13E-05,0.999948679
180,20980,0,0,1.45E-05,0.999985489
181,20981,1,0,3.29E-05,0.999967073
182,20982,1,0,1.43E-05,0.999985656
183,20983,1,1,0.999969482,3.05E-05
184,20984,0,0,4.48E-05,0.999955181
185,20985,1,1,0.999982476,1.75E-05
186,20986,0,1,0.999973893,2.61E-05
187,20987,0,0,1.35E-05,0.99998649
188,20988,1,1,0.999982119,1.79E-05
189,20989,1,0,2.89E-05,0.999971059
190,20990,1,1,0.999627113,0.000372887
191,20991,1,0,1.33E-05,0.999986654
192,20992,0,0,1.39E-05,0.99998607
193,20993,1,0,3.36E-05,0.999966351
194,20994,1,1,0.999982834,1.72E-05
195,20995,0,1,0.999982595,1.74E-05
196,20996,0,1,0.999954462,4.55E-05
197,20997,1,1,0.999951601,4.84E-05
198,20998,1,1,0.999981999,1.80E-05
199,20999,1,0,2.96E-05,0.999970395
200,21000,0,0,1.35E-05,0.999986517
201,21001,1,1,0.999979258,2.07E-05
202,21002,1,0,1.35E-05,0.999986517
203,21003,1,1,0.999982357,1.76E-05
204,21004,1,1,0.999950409,4.96E-05
205,21005,1,1,0.999982834,1.72E-05
206,21006,1,1,0.999980211,1.98E-05
207,21007,0,1,0.999981284,1.87E-05
208,21008,1,0,4.54E-05,0.999954554
209,21009,1,0,2.33E-05,0.99997666
210,21010,0,0,1.33E-05,0.999986687
211,21011,1,1,0.999981761,1.82E-05
212,21012,1,1,0.999976993,2.30E-05
213,21013,1,0,1.32E-05,0.999986797
214,21014,0,1,0.999977827,2.22E-05
215,21015,1,1,0.99998188,1.81E-05
216,21016,1,1,0.99998033,1.97E-05
217,21017,0,0,2.24E-05,0.999977647
218,21018,0,0,1.39E-05,0.999986144
219,21019,0,1,0.999981523,1.85E-05
220,21020,0,0,1.39E-05,0.999986138
221,21021,1,1,0.999967575,3.24E-05
222,21022,0,0,1.53E-05,0.99998465
223,21023,1,0,1.34E-05,0.999986568
224,21024,0,1,0.999858379,0.000141621
225,21025,1,1,0.999982476,1.75E-05
226,21026,1,1,0.999962568,3.74E-05
227,21027,1,1,0.999979973,2.00E-05
228,21028,0,0,1.44E-05,0.999985596
229,21029,0,0,6.96E-05,0.999930362
230,21030,0,0,1.36E-05,0.999986402
231,21031,0,0,1.41E-05,0.9999859
232,21032,0,1,0.999976277,2.37E-05
233,21033,1,1,0.999974966,2.50E-05
234,21034,1,1,0.999981403,1.86E-05
235,21035,1,1,0.999981165,1.88E-05
236,21036,0,1,0.999981642,1.84E-05
237,21037,0,1,0.999972939,2.71E-05
238,21038,1,1,0.999968171,3.18E-05
239,21039,1,0,2.74E-05,0.999972576
240,21040,1,1,0.999966145,3.39E-05
241,21041,0,1,0.999968171,3.18E-05
242,21042,0,0,3.64E-05,0.999963585
243,21043,1,1,0.999982834,1.72E-05
244,21044,0,1,0.999977589,2.24E-05
245,21045,1,0,2.47E-05,0.999975311
246,21046,1,0,1.38E-05,0.999986242
247,21047,1,1,0.999979734,2.03E-05
248,21048,0,0,2.37E-05,0.999976317
249,21049,1,1,0.99995327,4.67E-05
250,21050,1,1,0.999982595,1.74E-05
251,21051,1,1,0.999982834,1.72E-05
252,21052,0,1,0.999981642,1.84E-05
253,21053,0,0,1.39E-05,0.999986055
254,21054,0,1,0.999981165,1.88E-05
255,21055,1,0,1.40E-05,0.999985988
256,21056,1,0,1.39E-05,0.999986106
257,21057,1,1,0.999980092,1.99E-05
258,21058,1,1,0.999981642,1.84E-05
259,21059,1,1,0.999981046,1.90E-05
260,21060,1,0,2.80E-05,0.999971959
261,21061,1,1,0.999982834,1.72E-05
262,21062,1,1,0.999976873,2.31E-05
263,21063,1,0,0.015717706,0.984282294
264,21064,1,1,0.999978304,2.17E-05
265,21065,1,1,0.999981523,1.85E-05
266,21066,1,1,0.99998033,1.97E-05
267,21067,1,1,0.999982834,1.72E-05
268,21068,0,0,2.22E-05,0.999977834
269,21069,1,1,0.999980569,1.94E-05
270,21070,0,0,1.42E-05,0.999985752
271,21071,1,0,2.23E-05,0.999977678
272,21072,0,1,0.999982357,1.76E-05
273,21073,1,1,0.999982834,1.72E-05
274,21074,0,0,1.36E-05,0.999986411
275,21075,0,0,1.52E-05,0.99998477
276,21076,0,0,1.34E-05,0.999986605
277,21077,0,0,5.10E-05,0.999949033
278,21078,0,0,1.52E-05,0.999984826
279,21079,0,1,0.999977112,2.29E-05
280,21080,1,1,0.999975681,2.43E-05
281,21081,1,1,0.999982595,1.74E-05
282,21082,1,0,3.19E-05,0.999968129
283,21083,1,1,0.999978065,2.19E-05
284,21084,1,1,0.999972224,2.78E-05
285,21085,0,0,1.46E-05,0.999985412
286,21086,0,0,6.66E-05,0.999933431
287,21087,0,1,0.999978304,2.17E-05
288,21088,1,0,1.34E-05,0.999986642
289,21089,1,1,0.999937177,6.28E-05
290,21090,0,0,1.35E-05,0.999986546
291,21091,1,1,0.99997437,2.56E-05
292,21092,0,0,1.32E-05,0.999986842
293,21093,1,1,0.999979734,2.03E-05
294,21094,0,1,0.999981523,1.85E-05
295,21095,0,1,0.999980807,1.92E-05
296,21096,1,1,0.999982476,1.75E-05
297,21097,1,0,1.53E-05,0.999984741
298,21098,1,1,0.999977231,2.28E-05
299,21099,0,0,1.44E-05,0.99998558
300,21100,1,0,1.32E-05,0.999986801
301,21101,0,0,3.95E-05,0.999960458
302,21102,0,1,0.999962449,3.76E-05
303,21103,1,1,0.999982238,1.78E-05
304,21104,1,1,0.999981403,1.86E-05
305,21105,0,0,4.05E-05,0.999959492
306,21106,1,1,0.999961019,3.90E-05
307,21107,1,1,0.99997735,2.26E-05
308,21108,0,0,4.67E-05,0.999953297
309,21109,0,0,1.39E-05,0.999986068
310,21110,1,0,1.39E-05,0.999986089
311,21111,0,1,0.999976635,2.34E-05
312,21112,1,1,0.999982834,1.72E-05
313,21113,0,0,1.35E-05,0.999986537
314,21114,1,0,0.00229252,0.99770748
315,21115,1,1,0.999964356,3.56E-05
316,21116,0,0,1.52E-05,0.999984843
317,21117,1,1,0.999960065,3.99E-05
318,21118,0,0,1.38E-05,0.999986236
319,21119,0,1,0.999948978,5.10E-05
320,21120,0,0,1.35E-05,0.999986505
321,21121,0,0,1.43E-05,0.999985667
322,21122,0,0,1.34E-05,0.999986599
323,21123,1,1,0.999969721,3.03E-05
324,21124,0,0,1.35E-05,0.99998649
325,21125,1,1,0.999981403,1.86E-05
326,21126,1,1,0.999973774,2.62E-05
327,21127,0,0,1.45E-05,0.999985546
328,21128,0,0,1.36E-05,0.999986355
329,21129,1,1,0.999980807,1.92E-05
330,21130,0,1,0.999888301,0.000111699
331,21131,1,0,4.07E-05,0.999959272
332,21132,1,1,0.999970078,2.99E-05
333,21133,1,1,0.999981642,1.84E-05
334,21134,0,0,1.35E-05,0.999986486
335,21135,1,1,0.999981523,1.85E-05
336,21136,0,1,0.99998188,1.81E-05
337,21137,1,0,2.01E-05,0.999979923
338,21138,0,0,1.38E-05,0.999986164
339,21139,1,0,2.21E-05,0.999977891
340,21140,1,1,0.999932289,6.77E-05
341,21141,1,0,4.88E-05,0.999951169
342,21142,1,1,0.999981523,1.85E-05
343,21143,0,0,1.38E-05,0.999986178
344,21144,1,1,0.99998045,1.96E-05
345,21145,0,0,6.19E-05,0.999938059
346,21146,1,0,3.10E-05,0.999968965
347,21147,1,1,0.999980569,1.94E-05
348,21148,1,0,2.72E-05,0.999972797
349,21149,1,1,0.999982715,1.73E-05
350,21150,0,0,1.39E-05,0.999986071
351,21151,0,0,1.41E-05,0.99998589
352,21152,1,1,0.999982238,1.78E-05
353,21153,0,1,0.999979496,2.05E-05
354,21154,0,0,1.38E-05,0.999986248
355,21155,1,1,0.999975681,2.43E-05
356,21156,1,1,0.99998033,1.97E-05
357,21157,0,1,0.999981642,1.84E-05
358,21158,1,0,2.96E-05,0.999970362
359,21159,0,0,1.35E-05,0.999986477
360,21160,0,1,0.999962926,3.71E-05
361,21161,0,0,1.56E-05,0.999984417
362,21162,1,1,0.999981761,1.82E-05
363,21163,0,1,0.999980927,1.91E-05
364,21164,1,1,0.999974608,2.54E-05
365,21165,0,0,1.33E-05,0.999986719
366,21166,1,1,0.999982119,1.79E-05
367,21167,1,1,0.999980807,1.92E-05
368,21168,1,0,1.41E-05,0.999985933
369,21169,0,0,1.35E-05,0.999986456
370,21170,0,0,1.36E-05,0.999986377
371,21171,0,1,0.999981046,1.90E-05
372,21172,1,0,2.88E-05,0.999971176
373,21173,0,0,3.95E-05,0.999960497
374,21174,0,1,0.999973774,2.62E-05
375,21175,0,0,2.40E-05,0.999976025
376,21176,1,1,0.999958873,4.11E-05
377,21177,0,1,0.999981284,1.87E-05
378,21178,0,0,1.51E-05,0.999984881
379,21179,0,0,1.36E-05,0.999986441
380,21180,0,0,1.43E-05,0.999985741
381,21181,0,1,0.999981165,1.88E-05
382,21182,0,1,0.99998033,1.97E-05
383,21183,1,0,1.48E-05,0.99998524
384,21184,1,1,0.99996376,3.62E-05
385,21185,1,1,0.999981642,1.84E-05
386,21186,0,0,1.72E-05,0.999982809
387,21187,1,1,0.999982476,1.75E-05
388,21188,1,0,2.48E-05,0.999975163
389,21189,0,0,1.34E-05,0.999986626
390,21190,0,1,0.999981642,1.84E-05
391,21191,1,1,0.999912143,8.79E-05
392,21192,0,0,1.47E-05,0.999985307
393,21193,1,1,0.999969959,3.00E-05
394,21194,1,0,2.67E-05,0.999973331
395,21195,1,1,0.999980807,1.92E-05
396,21196,1,1,0.999979258,2.07E-05
397,21197,1,0,2.48E-05,0.999975166
398,21198,1,0,1.34E-05,0.999986639
399,21199,1,0,4.59E-05,0.999954079
400,21200,0,0,1.35E-05,0.999986471
401,21201,1,0,2.91E-05,0.999970927
402,21202,1,0,1.37E-05,0.99998633
403,21203,1,0,1.36E-05,0.99998638
404,21204,1,1,0.999981642,1.84E-05
405,21205,0,0,1.41E-05,0.999985864
406,21206,1,0,3.52E-05,0.999964835
407,21207,0,1,0.99989152,0.00010848
408,21208,0,0,1.34E-05,0.999986643
409,21209,1,0,3.84E-05,0.999961607
410,21210,0,1,0.999981403,1.86E-05
411,21211,1,0,3.69E-05,0.999963149
412,21212,1,0,1.48E-05,0.999985195
413,21213,0,0,1.36E-05,0.999986353
414,21214,1,0,2.38E-05,0.99997621
415,21215,0,0,1.37E-05,0.999986346
416,21216,0,0,1.43E-05,0.999985689
417,21217,0,0,1.36E-05,0.999986358
418,21218,1,1,0.999982715,1.73E-05
419,21219,1,0,4.18E-05,0.999958214
420,21220,0,0,1.44E-05,0.999985619
421,21221,0,0,1.37E-05,0.999986349
422,21222,0,1,0.999923825,7.62E-05
423,21223,1,0,1.34E-05,0.999986632
424,21224,0,1,0.999969363,3.06E-05
425,21225,0,1,0.999981523,1.85E-05
426,21226,1,0,1.37E-05,0.999986278
427,21227,1,1,0.999981523,1.85E-05
428,21228,0,0,1.44E-05,0.999985595
429,21229,1,0,1.36E-05,0.999986385
430,21230,0,0,1.35E-05,0.999986508
431,21231,0,1,0.999979496,2.05E-05
432,21232,0,0,1.36E-05,0.999986436
433,21233,1,1,0.999981523,1.85E-05
434,21234,0,0,1.37E-05,0.999986301
435,21235,0,0,1.40E-05,0.999986037
436,21236,0,0,1.40E-05,0.999986015
437,21237,1,1,0.999979496,2.05E-05
438,21238,1,1,0.99998188,1.81E-05
439,21239,1,0,1.33E-05,0.999986715
440,21240,1,1,0.999982476,1.75E-05
441,21241,0,0,1.33E-05,0.999986731
442,21242,0,1,0.999981642,1.84E-05
443,21243,1,0,1.36E-05,0.999986372
444,21244,0,0,1.33E-05,0.999986743
445,21245,0,1,0.999981642,1.84E-05
446,21246,1,0,4.77E-05,0.999952348
447,21247,1,1,0.999982476,1.75E-05
448,21248,1,0,1.36E-05,0.999986437
449,21249,1,0,3.14E-05,0.999968597
450,21250,1,1,0.999982476,1.75E-05
451,21251,0,1,0.999982595,1.74E-05
452,21252,1,1,0.999979973,2.00E-05
453,21253,1,1,0.999968886,3.11E-05
454,21254,1,0,3.11E-05,0.999968898
455,21255,0,0,1.86E-05,0.999981402
456,21256,0,0,1.40E-05,0.999986001
457,21257,1,0,2.32E-05,0.999976828
458,21258,0,1,0.999979854,2.01E-05
459,21259,0,0,3.03E-05,0.999969731
460,21260,1,0,3.19E-05,0.999968138
461,21261,1,0,3.16E-05,0.999968361
462,21262,0,0,4.05E-05,0.999959514
463,21263,0,0,1.36E-05,0.999986396
464,21264,1,0,4.68E-05,0.99995321
465,21265,0,0,1.35E-05,0.999986498
466,21266,0,0,4.19E-05,0.999958064
467,21267,0,0,1.42E-05,0.999985845
468,21268,0,0,1.33E-05,0.999986727
469,21269,1,0,1.42E-05,0.999985818
470,21270,0,1,0.999967933,3.21E-05
471,21271,1,0,1.40E-05,0.999985996
472,21272,0,0,1.36E-05,0.999986441
473,21273,0,0,1.34E-05,0.99998663
474,21274,1,1,0.999935985,6.40E-05
475,21275,0,0,1.41E-05,0.999985886
476,21276,0,1,0.999938488,6.15E-05
477,21277,0,1,0.999981761,1.82E-05
478,21278,0,0,1.36E-05,0.999986425
479,21279,1,1,0.999976873,2.31E-05
480,21280,1,1,0.999947667,5.23E-05
481,21281,1,0,3.42E-05,0.999965839
482,21282,1,1,0.999979377,2.06E-05
483,21283,1,0,1.35E-05,0.999986482
484,21284,1,0,1.35E-05,0.999986525
485,21285,1,0,1.36E-05,0.999986395
486,21286,1,1,0.999982119,1.79E-05
487,21287,1,1,0.999973536,2.65E-05
488,21288,1,0,3.96E-05,0.999960394
489,21289,0,0,1.42E-05,0.99998579
490,21290,0,0,2.27E-05,0.99997733
491,21291,1,0,4.08E-05,0.999959154
492,21292,0,0,1.37E-05,0.999986323
493,21293,0,1,0.999982238,1.78E-05
494,21294,1,0,1.34E-05,0.999986578
495,21295,0,0,1.43E-05,0.999985667
496,21296,0,0,1.39E-05,0.999986084
497,21297,1,1,0.999981046,1.90E-05
498,21298,1,1,0.999978662,2.13E-05
499,21299,1,1,0.999981403,1.86E-05
500,21300,0,1,0.999982119,1.79E-05
501,21301,1,0,1.42E-05,0.999985848
502,21302,0,0,1.33E-05,0.999986677
503,21303,0,1,0.999885559,0.000114441
504,21304,1,1,0.999979854,2.01E-05
505,21305,1,1,0.999981165,1.88E-05
506,21306,1,0,1.32E-05,0.999986754
507,21307,0,0,1.40E-05,0.999986003
508,21308,0,0,1.32E-05,0.999986828
509,21309,1,0,2.73E-05,0.999972698
510,21310,1,1,0.999980807,1.92E-05
511,21311,1,1,0.999982715,1.73E-05
512,21312,1,1,0.999982476,1.75E-05
513,21313,0,0,1.38E-05,0.999986246
514,21314,0,0,1.32E-05,0.999986812
515,21315,1,1,0.999982715,1.73E-05
516,21316,0,0,1.46E-05,0.999985422
517,21317,0,0,1.50E-05,0.999984975
518,21318,1,0,1.67E-05,0.999983253
519,21319,0,0,4.92E-05,0.999950811
520,21320,0,0,2.64E-05,0.999973617
521,21321,1,0,1.39E-05,0.999986052
522,21322,1,1,0.999982238,1.78E-05
523,21323,0,1,0.999982119,1.79E-05
524,21324,0,0,1.48E-05,0.999985232
525,21325,1,1,0.999981523,1.85E-05
526,21326,0,0,1.32E-05,0.99998679
527,21327,0,0,3.49E-05,0.999965129
528,21328,1,1,0.999981523,1.85E-05
529,21329,1,1,0.999905705,9.43E-05
530,21330,1,1,0.999654651,0.000345349
531,21331,1,1,0.999973655,2.63E-05
532,21332,0,0,1.51E-05,0.999984936
533,21333,0,1,0.999979138,2.09E-05
534,21334,0,1,0.999982357,1.76E-05
535,21335,1,0,3.06E-05,0.999969393
536,21336,0,1,0.999981046,1.90E-05
537,21337,0,0,1.45E-05,0.99998554
538,21338,1,1,0.999980807,1.92E-05
539,21339,0,0,1.33E-05,0.999986719
540,21340,0,1,0.999968886,3.11E-05
541,21341,0,1,0.99998188,1.81E-05
542,21342,0,1,0.999975562,2.44E-05
543,21343,1,0,1.97E-05,0.999980344
544,21344,1,0,1.33E-05,0.999986652
545,21345,1,1,0.999982595,1.74E-05
546,21346,0,0,4.96E-05,0.999950417
547,21347,0,0,1.33E-05,0.999986683
548,21348,0,0,1.54E-05,0.999984606
549,21349,0,0,1.43E-05,0.999985719
550,21350,0,0,1.34E-05,0.999986621
551,21351,1,1,0.999982715,1.73E-05
552,21352,1,0,3.19E-05,0.999968141
553,21353,0,1,0.999981761,1.82E-05
554,21354,1,1,0.999982595,1.74E-05
555,21355,1,0,2.01E-05,0.999979855
556,21356,1,1,0.999965191,3.48E-05
557,21357,1,0,2.94E-05,0.999970621
558,21358,0,0,1.36E-05,0.999986401
559,21359,0,1,0.999981999,1.80E-05
560,21360,0,0,1.36E-05,0.999986382
561,21361,1,1,0.999978423,2.16E-05
562,21362,1,0,2.93E-05,0.99997069
563,21363,0,0,1.38E-05,0.999986167
564,21364,0,1,0.999982238,1.78E-05
565,21365,1,1,0.999971151,2.88E-05
566,21366,1,0,2.56E-05,0.999974372
567,21367,0,1,0.999981403,1.86E-05
568,21368,1,1,0.999981523,1.85E-05
569,21369,0,0,1.36E-05,0.999986371
570,21370,0,1,0.99998045,1.96E-05
571,21371,0,0,1.32E-05,0.999986797
572,21372,1,1,0.999980211,1.98E-05
573,21373,0,0,2.75E-05,0.999972536
574,21374,0,0,1.34E-05,0.999986586
575,21375,0,0,1.39E-05,0.999986142
576,21376,1,0,3.25E-05,0.999967505
577,21377,0,1,0.999980807,1.92E-05
578,21378,1,0,2.82E-05,0.999971839
579,21379,1,1,0.999967933,3.21E-05
580,21380,1,0,1.60E-05,0.999983988
581,21381,0,0,1.34E-05,0.999986624
582,21382,0,1,0.999981403,1.86E-05
583,21383,1,1,0.999964952,3.50E-05
584,21384,0,0,1.62E-05,0.999983775
585,21385,1,1,0.999981046,1.90E-05
586,21386,1,1,0.9999789,2.11E-05
587,21387,0,1,0.99995327,4.67E-05
588,21388,0,0,1.33E-05,0.999986726
589,21389,1,1,0.999970078,2.99E-05
590,21390,0,1,0.99997282,2.72E-05
591,21391,0,1,0.999982238,1.78E-05
592,21392,0,0,1.35E-05,0.999986511
593,21393,0,0,1.37E-05,0.999986316
594,21394,0,0,1.56E-05,0.999984352
595,21395,0,0,1.35E-05,0.999986504
596,21396,1,0,1.39E-05,0.999986062
597,21397,1,0,1.37E-05,0.99998634
598,21398,1,0,1.62E-05,0.999983819
599,21399,1,0,1.34E-05,0.999986644
600,21400,1,1,0.999981284,1.87E-05
601,21401,1,0,3.43E-05,0.999965735
602,21402,1,1,0.999979496,2.05E-05
603,21403,0,1,0.999980927,1.91E-05
604,21404,0,0,1.35E-05,0.999986457
605,21405,1,0,1.41E-05,0.999985904
606,21406,0,0,1.37E-05,0.999986333
607,21407,0,1,0.999978662,2.13E-05
608,21408,0,0,6.36E-05,0.999936369
609,21409,1,0,1.47E-05,0.999985314
610,21410,0,1,0.999961734,3.83E-05
611,21411,1,1,0.999982595,1.74E-05
612,21412,0,0,1.40E-05,0.999985958
613,21413,0,0,1.43E-05,0.999985732
614,21414,0,0,1.38E-05,0.999986213
615,21415,1,1,0.999716818,0.000283182
616,21416,1,1,0.999981165,1.88E-05
617,21417,1,0,3.05E-05,0.999969535
618,21418,0,0,1.35E-05,0.99998648
619,21419,1,1,0.99997735,2.26E-05
620,21420,0,1,0.999980211,1.98E-05
621,21421,0,0,1.37E-05,0.999986331
622,21422,1,1,0.999982119,1.79E-05
623,21423,0,0,1.32E-05,0.999986782
624,21424,0,0,1.54E-05,0.999984559
625,21425,1,0,4.28E-05,0.999957155
626,21426,1,1,0.999970078,2.99E-05
627,21427,1,0,1.35E-05,0.999986462
628,21428,1,1,0.999982715,1.73E-05
629,21429,0,0,1.46E-05,0.999985366
630,21430,1,0,3.15E-05,0.99996848
631,21431,0,1,0.999981999,1.80E-05
632,21432,1,0,4.04E-05,0.999959619
633,21433,1,1,0.999982476,1.75E-05
